acl 2.2.52-3
adwaita-icon-theme 3.24.0-1
alsa-lib 1.1.4.1-1
alsa-plugins 1.1.4-1
alsa-utils 1.1.4-1
android-emulator 26.0.3-1
android-platform 26_r01-1
android-sdk 26.0.2-1
android-sdk-build-tools r26-1
android-sdk-platform-tools r26.0.0-1
android-tools 7.1.2_r6-1
android-udev 20170416-1
aosp-devel 0.2-1
arandr 0.1.9-2
arc-gtk-theme 20170302-2
arc-icon-theme 20161122-1
archlinux-keyring 20170611-1
aspell 0.60.6.1-5
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
bash 4.4.012-2
bash-completion 2.5-1
bc 1.07.1-1
binutils 2.28.0-3
bison 3.0.4-2
blueman 2.0.4-3
bluez 5.45-1
bluez-libs 5.45-1
bzip2 1.0.6-6
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.31-3
ca-certificates-utils 20170307-1
cairo 1.14.10-1
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
ccache 3.3.4-2
cmake 3.8.2-1
compositeproto 0.4.2-3
confuse 3.2-1
coreutils 8.27-1
cracklib 2.9.6-1
cryptsetup 1.7.5-1
curl 7.54.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.18-1
dbus-glib 0.108-1
dconf 0.26.0+1+g701d19d-1
desktop-file-utils 0.23-1
device-mapper 2.02.171-1
dhcpcd 6.11.5-1
diffutils 3.6-1
discord 0.0.1-7
dmenu 4.7-1
double-conversion 2.0.1-3
dropbox 25.4.28-1
e2fsprogs 1.43.4-1
efibootmgr 15-1
efivar 31-1
emacs 25.2-1
enchant 1.6.1-2
expat 2.2.0-2
fakeroot 1.21-2
ffmpeg 1:3.3.2-1
ffmpegthumbnailer 2.2.0-1
fftw 3.3.6-2
file 5.31-1
filesystem 2017.03-2
findutils 4.6.0-2
fixesproto 5.0+9+g4292ec1-1
